Customer,Name
80001374,STRATEQ SYSTEMS SDN BHD
80001375,ACTEWAGL Distribution
80001376,ADVANTIS NETWORK & SYSTEM
80001377,RFNET TECHNOLOGIES PTE LTD
80001378,GREENWICH LANKA (PVT) LTD
80001379,INFINET TECHNOLOGY LTD
80001380,RADMIK SOLUTIONS SDN BHD
80001381,NTT COMMUNICATIONS VIETNAM
80001382,COMSYS COMMUNICATION (PVT)
80001383,MCIS ZURICH INSURANCE BERHAD
80001384,LINKCRAFT DISTRIBUTION (S)
80001385,METRONIC ENGINEERING SDN BHD
80001386,KOMPAKAR ENET SDN BHD
80001387,INTRACO TECHNOLOGY PTE LTD
80001388,TRANSTEL ENGINEERING PTE LTD
80001389,"SONG GIA VIET CO., LTD"
80001390,PACIFIC STAR TECHNOLOGIES
80001391,FINE STAR COMPANY LIMITED
80001392,BAUDTEC CORPORATION
80001393,NETWORK TECHNOLOGIES LIMITED
80001394,"ACCESS SPECTRUM CO., LTD"
80001395,ALLIED TELESIS SALES &
80001396,PC HOUSE (PVT) LIMITED
80001397,NETCOM TECHNOLOGIES (PVT)LTD
80001398,MEWAH-OILS SDN BHD
80001399,ANIXTER AUSTRALIA PTY LTD(NZ
80001400,ASTERS PVT LTD
80001401,MEWAHOLEO INDUSTRIES SDN BHD
80001402,INET TELECOM-NETWORKING
80001403,ELECTRICITY ASHBURTON LTD
80001404,ESPORE CORP PTE LTD
80001405,KABAZ ASSOCIATES SDN BHD
80001406,UNIVERSITY OF BATANGAS
80001407,INSIGHT SYSTEMS INT'L CORP
80001408,CON & COMNET TECHNOLOGY CO
80001409,PETRODAR OPERATING COMPANY
80001410,VTC TELECOMMUNICATIONS J.S
80001411,TAURANGA CITY COUNCIL
80001412,BERMIZA INFOTECH SDN BHD
80001413,CASH SALES-RED SUN SYNTHESIS
80001414,ADVANTECH PERIPHERALS (S)P/L
80001415,INFLOW TECHNOLOGIES (S)P/L
80001416,REDTONE TECHNOLOGY SDN BHD
80001417,TULIP RESOURCES SDN BHD
80001418,UNITECH SOLUTIONS
80001419,CONNECTOR SYSTEMS HOLDINGS
80001420,COMFACTS SDN BHD
80001421,VADIS SYSTEMS
80001422,OMNISYS TECHNOLOGIES PTE LTD
80001423,SI PLUS 4 TECHNOLOGY LTD
80001424,LEO MERIDIAN INFRASTRUCTURE
80001425,CASH SALES-DVAC SYSTEM P/L
80001426,ADVANTAGE SYSTEMS SDN BHD
80001427,XCESS NETWORKS(M)SDN BHD
80001428,"AMERICAN TECHNOLOGIES,INC"
80001429,"NINE DISTRIBUTION CO., LTD"
80001430,COMMONE VISION SDN BHD
80001431,V.R.M.VOIZPLUS LTD
80001432,DATA KARISMA SDN BHD
80001433,KABAZ SYSTEMS SDN BHD
80001434,ACW DISTRIBUTION (S) PTE LTD
80001435,JKEC TECHNOLOGIES SDN BHD
80001436,SJES ENTERPRISE
80001437,TRANSITION SYSTEMS ASIA P/L
80001438,G7 INFOTECH PTE LTD
80001439,REDTONE TELECOMMUNICATIONS
80001440,ANIXTER NEW ZEALAND LIMITED
80001441,NETMARKS TECHNOLOGY(MALAYSIA
80001442,GRANDTECH SYSTEMS PTE LTD
80001443,SELECT-TV SOLUTIONS SDN BHD
80001444,FUSION NETWORKS LIMITED
80001445,ALLIED TELESIS (THAI) CO LTD
